name,coast,ID
Vestfjord Gl.,CE,GGN0275
F. Graae Gl.,CE,GGN0394
Deception O Gl. CN,CE,FISCH001
Frederiksborg Gl.,CE,GGN0211
Perlerfiup Se.,CW,GGN0303
Sermeq Avannarleq,CW,GGN0305
Kangilleq,CW,GGN0295
Marie Sophie Gl.,N,GGN0701
Steensby Gl.,N,GGN0693
Diebitsch Gl.,N,GGN0659
Farquhar Gl.,N,GGN0646
Adolf Hoel Gl.,NE,GGN0508
Gerard de Geer Gl.,NE,GGN0494
Ussing Br.,NW,GGN0500
Kong Oscar Gl.,NW,GGN0553
Morell Gl.,NW,GGN0573
Nordenskiold Gl. N,NW,NORD001
Upernavik Isstrom SS,NW,GGN0452
Rimfaxe Gl.,SE,GGN0060
Koge Bugt Gl. C,SE,FISCH002
Midgard Gl.,SE,GGN0168
Kangiata Nunaata Se.,SW,GGN0094
Eqalorutsit Kangilliit Se.,SW,GGN0041
Ukaasorsuaq,SW,FISCH003
