ID,LAT,LON,New_Greenl,Old_Greenl,Foreign_na,Official_n,Alternativ,RGI_ID,GLIMS_ID,RGI_LON,RGI_LAT,Type
GGN0001,60.116600,-43.370000,Sermeq Kujalleq,Sermeq Kujatdleq,,Sermeq Kujalleq,,RGI40-05.04361,G316578E60159N,-43.421700,60.159300,LGIC
GGN0002,60.134900,-43.512500,Sermeq Avannarleq,Sermeq Avangnardleq,,Sermeq Avannarleq,,RGI40-05.04363,G316482E60158N,-43.518200,60.158400,LGIC
GGN0003,60.162700,-43.727800,Sermikasik Avannarleq,Sermikasik Avangnardleq,,Sermikasik Avannarleq,,RGI40-05.04356,G316285E60178N,-43.715400,60.177900,LGIC
GGN0004,60.163900,-43.703800,Sermikasik Kujalleq,Sermikasik Kujatdleq,,Sermikasik Kujalleq,,RGI40-05.04356,G316285E60178N,-43.715400,60.177900,LGIC
GGN0005,60.217100,-43.337000,Sermeq Avannarleq,Sermeq Avangnardleq,,Sermeq Avannarleq,,RGI40-05.04332,G316577E60220N,-43.422900,60.219900,LGIC
GGN0006,60.235200,-43.264400,Sermeq Qeqqarleq,Sermeq Qerqardleq,,Sermeq Qeqqarleq,,RGI40-05.04331,G316702E60261N,-43.298000,60.261300,LGIC
GGN0007,60.250500,-43.244500,Sermeq Kujalleq,Sermeq Kujatdleq,,Sermeq Kujalleq,,RGI40-05.04331,G316702E60261N,-43.298000,60.261300,LGIC
GGN0008,60.309800,-43.948000,Paarliit Sermiat,,,Paarliit Sermiat,Paarliit Sermia,RGI40-05.04309,G316193E60315N,-43.806600,60.315100,LGIC
GGN0009,60.311400,-45.273600,,,Napasorsuaq Gletsjer,Napasorsuaq Gletsjer,,RGI40-05.03779,G314725E60307N,-45.274900,60.307400,LGIC
GGN0010,60.347900,-44.109300,Sermikasik,,,Sermikasik,,RGI40-05.03889,G315849E60344N,-44.151300,60.343600,LGIC
GGN0011,60.409700,-44.127200,Qinngorliit Sermiat,,,Qinngorliit Sermiat,Qinngerliit Sermiat,RGI40-05.04288,G315830E60462N,-44.169900,60.462200,LGIC
GGN0012,60.531900,-44.425600,Sermitsiaq,Sermitsiaq,,Sermitsiaq,,RGI40-05.04052,G315652E60546N,-44.348200,60.545500,LGIC
GGN0013,60.568600,-44.463600,Sermersuasik,,,Sermersuasik,,RGI40-05.04143,G315572E60586N,-44.428100,60.586400,LGIC
GGN0014,60.702200,-45.237500,Sermitsiaq Killeq,Sermitsiaq Kitdleq,,Sermitsiaq Killeq,,RGI40-05.04402,G314767E60701N,-45.233300,60.700800,LGIC
GGN0015,60.716500,-45.207000,Sermitsiaq Kangilleq,Sermitsiaq Kangigdleq,,Sermitsiaq Kangilleq,,RGI40-05.04310,G314796E60715N,-45.204400,60.714500,LGIC
GGN0016,60.797700,-44.490200,Sermeq,Sermeq,,Sermeq,,,,0.000000,0.000000,GrIS
GGN0017,60.859800,-44.876400,Siorallip Sermia,Sioragdlip Sermia,,Siorallip Sermia,,,,0.000000,0.000000,GrIS
GGN0018,60.966700,-44.916700,Sermeq Kangilleq,Sermeq Kangigdleq,,Sermeq Kangilleq,,,,0.000000,0.000000,GrIS
GGN0019,60.983300,-45.016700,,,Jespersen Bræ,Jespersen Bræ,,,,0.000000,0.000000,GrIS
GGN0020,60.984500,-46.986300,Sermilik,,Sermilik Bræ,Sermilik,,,,0.000000,0.000000,GrIS
GGN0021,60.993800,-45.907900,,,Narsaq Bræ,Narsaq Bræ,,RGI40-05.04721,G314094E60995N,-45.905800,60.995400,LGIC
GGN0022,61.008800,-46.686000,Qalerallit Sermiat,Qaleragdlit Sermiat,,Qalerallit Sermiat,,,,0.000000,0.000000,GrIS
GGN0023,61.037300,-46.581200,Naajat Sermiat,Naujat Sermiat,,Naajat Sermiat,,,,0.000000,0.000000,GrIS
GGN0024,61.050000,-47.666700,,,Nordre Qipisaqqu Bræ,Nordre Qipisaqqu Bræ,,,,0.000000,0.000000,GrIS
GGN0025,61.050000,-47.500000,,,Søndre Qipisaqqu Bræ,Søndre Qipisaqqu Bræ,,,,0.000000,0.000000,GrIS
GGN0026,61.090000,-46.418400,Ilorliit,Ilordlît,,Ilorliit,,,,0.000000,0.000000,GrIS
GGN0027,61.095000,-46.317100,Serminnguaq,Sermínguaq,,Serminnguaq,,,,0.000000,0.000000,GrIS
GGN0028,61.145200,-47.742400,,,Søndre Qoornoq Bræ,Søndre Qoornoq Bræ,,,,0.000000,0.000000,GrIS
GGN0029,61.191200,-47.718100,,,Nordre Qoornoq Bræ,Nordre Qoornoq Bræ,,,,0.000000,0.000000,GrIS
GGN0030,61.214900,-48.451200,,,Storebræ,Storebræ,,RGI40-05.04997,G311549E61209N,-48.451100,61.209100,LGIC
GGN0031,61.215700,-48.430900,,,Nordre Hængebræ,Nordre Hængebræ,,RGI40-05.04989,G311571E61214N,-48.428600,61.214400,LGIC
GGN0032,61.266700,-45.266700,Kiattuut Sermiat,Kiagtût Sermiat,,Kiattuut Sermiat,,,,0.000000,0.000000,GrIS
GGN0033,61.276500,-46.150100,Eqalorutsit Killiit Sermiat,Eqalorutsit Kitdlît Sermiat,,Eqalorutsit Killiit Sermiat,,,,0.000000,0.000000,GrIS
GGN0034,61.296600,-44.960800,,,Sydtunge,Sydtunge,,,,0.000000,0.000000,GrIS
GGN0035,61.298600,-44.799900,,,Tretungegletsjer,Tretungegletsjer,,,,0.000000,0.000000,GrIS
GGN0036,61.310700,-47.869300,Sermeq,Sermeq,Arsuk Bræ,Sermeq,,,,0.000000,0.000000,GrIS
GGN0037,61.312300,-44.996400,,,Nordtunge,Nordtunge,,,,0.000000,0.000000,GrIS
GGN0038,61.345700,-44.983900,Qooqqup Sermia,Qôrqup Sermia,,Qooqqup Sermia,,,,0.000000,0.000000,GrIS
GGN0039,61.351700,-47.806500,,,Sortisen,Sortisen,,,,0.000000,0.000000,GrIS
GGN0040,61.366200,-45.158600,,,Sydgletsjer,Sydgletsjer,,,,0.000000,0.000000,GrIS
GGN0041,61.375300,-45.731800,Eqalorutsit Kangilliit Sermiat,Eqalorutsit Kangigdlît Sermiat,,Eqalorutsit Kangilliit Sermiat,,,,0.000000,0.000000,GrIS
GGN0042,61.433300,-45.400000,,,Nordbogletsjer,Nordbogletsjer,,,,0.000000,0.000000,GrIS
GGN0043,61.455800,-44.951800,,,Østgletsjer,Østgletsjer,,,,0.000000,0.000000,GrIS
GGN0044,61.478000,-45.156400,,,Nordgletsjer,Nordgletsjer,,,,0.000000,0.000000,GrIS
GGN0045,61.519800,-47.969700,,,Sioralik Bræ,Sioralik Bræ,,,,0.000000,0.000000,GrIS
GGN0046,61.637700,-48.139900,Sermiligaarsuup Sermia,,Sermiligaarsuk Bræ,Sermiligaarsuup Sermia,,,,0.000000,0.000000,GrIS
GGN0047,61.966700,-48.633300,Uukkaasorsuaq,Ùkâssorssuaq,Sermilik Bræ,Uukkaasorsuaq,,,,0.000000,0.000000,GrIS
GGN0048,62.079500,-48.766600,,,Nigerlikasik Bræ,Nigerlikasik Bræ,,,,0.000000,0.000000,GrIS
GGN0049,62.195400,-48.827400,,,Akulleq Bræ,Akulleq Bræ,,,,0.000000,0.000000,GrIS
GGN0050,62.200000,-42.350000,Sikuijivittip Apusiia,Sikuijivítip Apusîa,,Sikuijivittip Apusiia,,,,0.000000,0.000000,GrIS
GGN0051,62.222000,-48.973100,,,Avannarleq Bræ,Avannarleq Bræ,,,,0.000000,0.000000,GrIS
GGN0052,62.557100,-49.891100,Sioqqap Sermia,,Frederikshåb Isblink,Sioqqap Sermia,,,,0.000000,0.000000,GrIS
GGN0053,62.905200,-42.685100,,,Heimdal Gletsjer,Heimdal Gletsjer,,,,0.000000,0.000000,GrIS
GGN0054,63.055600,-42.380700,,,Garm,Garm,,RGI40-05.06021,G317519E63061N,-42.480900,63.060700,LGIC
GGN0055,63.065900,-49.584800,Nakkaasorsuaq,Nákâssorssuaq,,Nakkaasorsuaq,Allumersat Qinnguata Sermia,,,0.000000,0.000000,GrIS
